Rank,Athlete,Nation,D,E,ND,Total,year,round
148,ahmed al dyani,QAT,5.4,6.966,0.0,12.366,2019,qual
149,ri wi chol,none,5.2,7.133,0.0,12.333,2019,qual
150,michael tone,AUS,4.6,7.7,0.0,12.3,2019,qual
150,hsu ping chien,none,4.6,7.7,0.0,12.3,2019,qual
152,abdulla azimov,UZB,4.9,7.366,0.0,12.266,2019,qual
153,karim rida,none,4.7,7.533,0.0,12.233,2019,qual
154,vinzenz höck,AUT,4.3,7.9,0.0,12.2,2019,qual
155,konstantin kuzovkov,GEO,4.5,7.7,0.0,12.2,2019,qual
156,pietro giachino,NOR,4.8,7.4,0.0,12.2,2019,qual
157,jose lopez,PUR,5.0,7.2,0.0,12.2,2019,qual
158,martin gudmundsson,ISL,3.7,8.466,0.0,12.166,2019,qual
159,tarik soto,CRC,4.3,7.866,0.0,12.166,2019,qual
160,bidzina sitchinava,GEO,4.7,7.466,0.0,12.166,2019,qual
161,daniel villafañe,ARG,4.9,7.233,0.0,12.133,2019,qual
162,ioane jimsheleishvili,GEO,4.4,7.7,0.0,12.1,2019,qual
163,joseph fox,TRI,4.4,7.666,0.0,12.066,2019,qual
164,vitalijs kardasovrs,LAT,4.6,7.433,0.0,12.033,2019,qual
165,reiss beckford,JAM,5.2,6.833,0.0,12.033,2019,qual
166,andres valverde,CRC,3.4,8.566,0.0,11.966,2019,qual
167,fabio chicas,ESA,4.0,7.966,0.0,11.966,2019,qual
168,kevin crovetto,MON,4.1,7.833,0.0,11.933,2019,qual
168,arian leon prado,PER,4.1,7.833,0.0,11.933,2019,qual
170,saleem naghouj,JOR,4.5,7.366,0.0,11.866,2019,qual
171,bojan dejanovic,SRB,4.3,7.5,0.0,11.8,2019,qual
172,yogeshwar singh,IND,4.7,7.066,0.0,11.766,2019,qual
173,enkhtulga altansukh,MGL,4.7,7.0,0.0,11.7,2019,qual
174,lukasz borkowski,POL,4.9,6.733,0.0,11.633,2019,qual
175,valgard reinhardsson,ISL,4.4,7.2,0.0,11.6,2019,qual
176,odin kalvø,NOR,4.3,7.266,0.0,11.566,2019,qual
177,yunus gündogdu,TUR,4.6,6.866,0.0,11.466,2019,qual
178,rihards trams,LAT,4.1,7.266,0.0,11.366,2019,qual
179,victor rostagno,URU,4.6,6.566,0.0,11.166,2019,qual
180,abellino rubio,GUA,4.9,6.0,0.0,10.9,2019,qual
181,razvan-denis marc,ROU,4.4,6.466,0.0,10.866,2019,qual
182,vlada rakovic,SRB,4.4,6.366,0.0,10.766,2019,qual
183,gerardo cabrera,URU,3.1,7.533,0.0,10.633,2019,qual
184,khabibullo ergashev,UZB,3.6,7.033,0.0,10.633,2019,qual
185,frantisek cerny,CZE,4.3,6.266,0.0,10.566,2019,qual
186,meshari al deriwish,KUW,2.5,7.666,0.0,10.166,2019,qual
187,petar vefic,SRB,4.1,5.933,0.0,10.033,2019,qual
188,manuel martinez,COL,5.2,5.133,-0.3,10.033,2019,qual
189,yerbol jantykov,KAZ,4.6,4.966,0.0,9.566,2019,qual
190,nabil zouhair,MAR,3.0,6.266,0.0,9.266,2019,qual
191,sabah al subaiei,KUW,1.7,7.2,-4.0,4.9,2019,qual
192,ali al jafar,KUW,1.7,6.433,-4.0,4.133,2019,qual
1,you hao,CHN,6.8,8.266,0.0,15.066,2019,final
2,ahmet önder,TUR,6.2,8.433,0.0,14.633,2019,final
3,ferhat arican,TUR,6.5,7.866,0.0,14.366,2019,final
4,mitchell morgans,AUS,6.0,8.2,0.0,14.2,2019,final
5,hibiki arayashiki,JPN,5.9,8.166,0.0,14.066,2019,final
6,mikhail koudinov,NZL,5.9,7.033,0.0,12.933,2019,final
7,akim mussayev,KAZ,5.6,6.666,0.0,12.266,2019,final
8,tomomasa hasegawa,JPN,5.1,6.366,0.0,11.466,2019,final
1,ahmet önder,TUR,6.2,8.266,0.0,14.466,2019,qual
2,hibiki arayashiki,JPN,5.7,8.666,0.0,14.366,2019,qual
3,you hao,CHN,6.5,7.8,0.0,14.3,2019,qual
4,ferhat arican,TUR,6.5,7.733,0.0,14.233,2019,qual
5,mitchell morgans,AUS,6.0,7.966,0.0,13.966,2019,qual
6,mikhail koudinov,NZL,5.9,8.033,0.0,13.933,2019,qual
7,akim mussayev,KAZ,5.9,7.891,0.0,13.791,2019,qual
8,tomomasa hasegawa,JPN,5.6,7.966,0.0,13.566,2019,qual
9,tyson bull,AUS,5.4,7.966,0.0,13.366,2019,qual
10,milad karimi,KAZ,5.7,7.533,0.0,13.233,2019,qual
11,valgard reinhardsson,ISL,4.9,8.2,0.0,13.1,2019,qual
12,bram louwije,NED,5.5,6.9,0.0,12.4,2019,qual
13,tang chia-hung,none,5.0,6.1,0.0,11.1,2019,qual
1,sam mikulak,USA,6.4,8.59,0.0,29.4,2020,final
1,sam mikulak,USA,6.5,7.55,0.0,29.4,2020,final
2,grant breckenridge,USA,5.4,9.2,0.0,29.05,2020,final
2,grant breckenridge,USA,5.7,8.75,0.0,29.05,2020,final
3,yul moldauer,USA,6.1,8.0,0.0,28.2,2020,final
3,yul moldauer,USA,5.9,8.2,0.0,28.2,2020,final
4,akash modi,USA,6.1,7.95,0.0,27.95,2020,final
4,akash modi,USA,6.1,7.8,0.0,27.95,2020,final
5,robert neff,USA,5.8,8.1,0.0,27.5,2020,final
5,robert neff,USA,5.8,7.8,0.0,27.5,2020,final
6,colin van wicklen,USA,5.7,8.0,0.0,27.1,2020,final
6,colin van wicklen,USA,5.7,7.7,0.0,27.1,2020,final
7,colt walker,USA,5.6,8.1,0.0,27.05,2020,final
7,colt walker,USA,5.5,7.85,0.0,27.05,2020,final
7,gage dyer,USA,5.3,8.55,0.0,27.05,2020,final
7,gage dyer,USA,5.3,7.9,0.0,27.05,2020,final
9,ian gunther,USA,5.5,8.15,0.0,27.0,2020,final
9,ian gunther,USA,5.5,7.85,0.0,27.0,2020,final
10,kiwan watts,USA,5.6,8.25,0.0,26.9,2020,final
10,kiwan watts,USA,5.2,7.85,0.0,26.9,2020,final
10,isaiah drake,USA,5.3,8.4,0.0,26.9,2020,final
10,isaiah drake,USA,5.2,8.0,0.0,26.9,2020,final
12,paul juda,USA,5.4,8.2,0.0,26.8,2020,final
12,paul juda,USA,5.4,7.8,0.0,26.8,2020,final
13,cameron bock,USA,5.7,8.15,0.0,26.75,2020,final
13,cameron bock,USA,5.7,7.2,0.0,26.75,2020,final
14,sean melton,USA,6.0,8.1,0.0,26.55,2020,final
14,sean melton,USA,6.0,6.45,0.0,26.55,2020,final
15,timothy wang,USA,5.9,7.15,0.0,26.2,2020,final
15,timothy wang,USA,5.9,7.25,0.0,26.2,2020,final
16,adrian de los angeles,USA,5.6,7.05,0.0,25.5,2020,final
16,adrian de los angeles,USA,5.7,7.15,0.0,25.5,2020,final
17,nicolas kuebler,USA,5.0,7.95,0.0,24.5,2020,final
17,nicolas kuebler,USA,4.5,7.05,0.0,24.5,2020,final
18,michael moran,USA,4.7,7.75,0.0,24.4,2020,final
18,michael moran,USA,4.7,7.25,0.0,24.4,2020,final
